"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"212",953748,54,"low",10,"seemingly","No",NA,NA,NA,160.10009765625,"Frequency corpus",978,3.69,9
"213",953748,54,"low",13,"to","No",496,496,496,496,"Frequency corpus",5327272,7.42,2
"214",953748,21,"high",2,"maintenance","No",NA,NA,NA,256.10009765625,"Frequency corpus",2385,4.07,11
"215",953748,21,"high",4,"the","No",128,128,128,128,"Frequency corpus",9418422,7.67,3
"216",953748,21,"high",5,"water","Yes",NA,NA,NA,96.09985351562,"Frequency corpus",68324,5.53,5
"217",953748,21,"high",6,"pipe","No",NA,NA,NA,223.89990234375,"Frequency corpus",3648,4.26,4
"218",953748,21,"high",9,"necessary","No",96,96,96,352.10009765625,"Frequency corpus",7193,4.55,9
"219",953748,46,"low",2,"night,","No",368,368,368,368,"Frequency corpus",90177,5.65,6
"220",953748,46,"low",3,"Joseph","No",191.89990234375,191.89990234375,191.89990234375,191.89990234375,"Frequency corpus",3675,4.26,6
"221",953748,46,"low",4,"stopped","No",304,304,304,304,"Frequency corpus",12589,4.8,7
"222",953748,46,"low",8,"shop","No",623.89990234375,623.89990234375,623.89990234375,623.89990234375,"Frequency corpus",22769,5.05,4
"223",953748,46,"low",12,"home.","No",128.10009765625,128.10009765625,128.10009765625,128.10009765625,"Frequency corpus",146371,5.86,5
"224",953748,2,"high",2,"house","No",288,288,288,288,"Frequency corpus",135288,5.83,5
"225",953748,2,"high",4,"recognisable","No",368,NA,528.10009765625,528.10009765625,"Frequency corpus",664,3.52,12
"226",953748,2,"high",7,"green","Yes",528.09985351562,528.09985351562,528.09985351562,528.09985351562,"Frequency corpus",33158,5.22,5
"227",953748,2,"high",11,"windows.","No",240,240,240,240,"Frequency corpus",8694,4.64,8
"228",953748,28,"high",3,"leader","No",272,272,272,272,"Frequency corpus",21298,5.02,6
"229",953748,28,"high",4,"examine","No",128,128,128,128,"Frequency corpus",1923,3.98,7
"230",953748,28,"high",5,"weather","Yes",528,528,528,528,"Frequency corpus",26764,5.12,7
"231",953748,28,"high",9,"operation.","No",464,464,464,464,"Frequency corpus",12565,4.79,10
"232",953748,10,"high",4,"the","No",128,128,128,128,"Frequency corpus",9418422,7.67,3
"233",953748,10,"high",5,"quiet","Yes",496.10009765625,NA,784.30004882813,784.30004882813,"Frequency corpus",14487,4.86,5
"234",953748,10,"high",9,"ideal","No",288.10009765625,288.10009765625,288.10009765625,288.10009765625,"Frequency corpus",7073,4.55,5
"235",953748,10,"high",11,"habitat","No",272.10009765625,272.10009765625,272.10009765625,272.10009765625,"Frequency corpus",2116,4.02,7
"236",953748,53,"low",2,"discovery","No",287.89990234375,NA,527.7998046875,863.7998046875,"Frequency corpus",3372,4.22,9
