"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub"
"119",17,820.199951171875,1046.60009765625,1176.37537956238,959.683431386948,24.0994468402879,3.9264101300237,-48.8745355606067,11.932075023651,226.400146484375,11
"120",17,1094.19995117188,1430,1525.44481277466,905.088118314743,135.061461507798,3.2723955016132,-70.3617143630984,-11.3689720630648,335.80004882812,11
"122",27,58.300048828125,153.199951171875,1328.67357254029,970.991806983948,10.2603188667257,3.97762929296291,13.9771604537967,7.97793030738779,94.89990234375,11
"123",27,183,565.900146484375,1261.98818683624,915.005929470062,60.4092876205453,13.0761250462527,-64.5809268951417,13.7635517120364,382.900146484375,11
"124",27,14.800048828125,934,1475.36004066467,894.518015384674,30.4871233262984,10.3990489211082,52.6823663711549,10.4747664928435,919.199951171875,11
"125",12,265.199951171875,638.60009765625,1162.58066177368,938.00490617752,38.2258263015754,6.79048391962085,-62.8218841552734,9.66148853301996,373.400146484375,11
"126",12,653.300048828125,1279.80004882813,1497.6803779602,895.770199298859,67.4561678123461,5.86729827403921,-68.7159633636466,6.51381969451916,626.500000000005,11
"127",12,1326.60009765625,1450.80004882813,1212.65396118164,924.690763950349,32.5020053100583,7.97740053463066,-43.9295244216933,-8.23020815849338,124.19995117188,11
"128",40,4,644.400146484375,1260.36839485168,911.520237922668,76.0307293510464,7.61555782699686,50.634021759035,-11.4309310913084,640.400146484375,11
"129",40,723.300048828125,1107.5,1571.40630722046,891.926186084747,73.4838962402364,2.13975211143527,-39.8910427093501,-7.66399383544916,384.199951171875,11
"130",40,1349.10009765625,1522.5,1390.24286270142,893.509376049041,118.495876338956,20.7417249498357,74.2462778091433,7.71393656730658,173.39990234375,11
"131",9,28.300048828125,986.60009765625,1266.75846099853,969.082481861115,114.601523254398,14.0572742414495,52.2834873199467,-13.3948981761932,958.300048828125,11
"132",9,1040.90014648438,1277.40014648438,1205.1177406311,906.140048503876,79.032151090623,15.1978709177969,49.221267700195,-11.2650632858272,236.5,11
"133",9,1324.30004882813,2239.69995117188,1422.23191261292,891.340413093566,120.008188402175,12.5738591179853,86.4072132110582,-10.8758425712588,915.39990234375,11
"134",9,2255.60009765625,2397.10009765625,1131.22009277344,943.633457422256,19.546250598907,3.13208362698479,40.47387123108,-9.82024312019394,141.5,11
"135",9,4.5,2443.90014648438,1116.68172836304,950.809278488159,40.3328179435754,15.4622063369756,-46.94965839386,-14.217413663864,2439.40014648438,11
"136",8,885.400146484375,2580.80004882813,1469.0039730072,904.694917201997,67.871138471599,6.36848255538738,63.9106082916267,7.29097366333008,1695.39990234376,11
"137",24,0.199951171875,665.10009765625,1442.28092193603,880.773046016693,65.9991116466556,14.8301586849697,77.9920053482067,-11.2713718414308,664.900146484375,11
"138",24,703.900146484375,1326.30004882813,1187.55931854248,937.974543571472,14.9178480835001,7.96403901386278,65.3839254379284,-8.53069067001348,622.399902343755,11
"139",24,1372.90014648438,1676.69995117188,1429.57480430603,897.148060798645,34.4034557590485,6.73357020378189,-55.9532308578467,-11.4609396457665,303.7998046875,11
"141",26,59,543.10009765625,1117.12003707886,969.569463729859,30.5094844322238,26.4233298983562,-44.6215343475342,11.340444087982,484.10009765625,11
"142",26,574.10009765625,1405,1442.41118431091,896.590815782547,109.950356666564,7.52651283502596,-88.3156681060782,8.9635992050172,830.89990234375,11
"144",33,29.5,622.800048828125,1118.05570602417,923.360710144043,32.8508187675459,5.00013557624783,44.7651576995851,-11.799638271332,593.300048828125,11
"145",33,653.60009765625,747.800048828125,1381.04558944702,884.988985061646,26.3516760921468,0.408544404029341,68.5966682434067,-9.37947034835798,94.199951171875,11
"146",33,779.199951171875,2876.19995117188,1217.63920783997,922.428749799729,177.067113573075,35.015837585449,-76.5910482406616,-12.9970514774324,2097.00000000001,11
"01",21,24.699951171875,152.5,1231.24971389771,972.62327671051,4.94712780761618,1.90004006624289,42.5212955474857,2.70302295684854,127.800048828125,13
"110",21,264.5,328.599853515625,50.7538986206053,955.79647064209,40.2325429115294,0.187952058792451,71.0614299774172,5.12027263641403,64.099853515625,13
"210",21,968.599853515625,1800.39990234375,231.533250808715,934.263106584549,196.124162841796,4.32299279165209,70.9216594696044,-4.33079123496998,831.800048828125,13
