"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"180",3,28,"low",4,"bolas","Yes",95.10009765625,95.10009765625,95.10009765625,318.80029296875,"Webcam"
"181",3,44,"low",5,"gastos","Yes",NA,NA,NA,496.39990234374,"Webcam"
"182",3,74,"high",3,"artículo","Yes",351.39990234375,351.39990234375,351.39990234375,751.599853515625,"Webcam"
"183",3,18,"low",6,"frase","Yes",400.000000000005,400.000000000005,400.000000000005,400.000000000005,"Webcam"
"184",3,2,"low",5,"tono","Yes",209.199951171875,209.199951171875,209.199951171875,209.199951171875,"Webcam"
"185",3,88,"high",4,"regiones","Yes",240,NA,448.199951171875,592.499755859375,"Webcam"
"186",3,99,"high",6,"películas","Yes",336.600097656255,336.600097656255,336.600097656255,336.600097656255,"Webcam"
"187",3,89,"high",3,"especies","Yes",208.099853515625,208.099853515625,208.099853515625,208.099853515625,"Webcam"
"188",3,64,"high",5,"pueblos","Yes",174.80004882812,174.80004882812,174.80004882812,174.80004882812,"Webcam"
"189",3,19,"low",6,"arena","Yes",NA,NA,NA,145.10009765625,"Webcam"
"190",3,46,"low",6,"marcas","Yes",193,NA,338.60009765625,338.60009765625,"Webcam"
"191",3,91,"high",3,"alimentos","Yes",157.39990234375,157.39990234375,157.39990234375,157.39990234375,"Webcam"
"192",3,3,"low",6,"sofá","Yes",174.400146484375,174.400146484375,174.400146484375,174.400146484375,"Webcam"
"193",3,40,"low",6,"cuerda","Yes",672.10009765625,672.10009765625,672.10009765625,672.10009765625,"Webcam"
"194",3,97,"high",6,"fronteras","Yes",NA,NA,NA,192.10009765625,"Webcam"
"195",3,45,"low",4,"grados","Yes",128.300048828125,128.300048828125,128.300048828125,128.300048828125,"Webcam"
"196",3,51,"high",6,"sistema","Yes",242.5,242.5,242.5,242.5,"Webcam"
"197",3,1,"low",6,"humo","Yes",110,110,110,110,"Webcam"
"198",3,41,"low",3,"viajes","Yes",128.199951171875,128.199951171875,128.199951171875,128.199951171875,"Webcam"
"199",3,32,"low",5,"helado","Yes",NA,NA,NA,223.09985351562,"Webcam"
"200",3,47,"low",4,"bromas","Yes",396.800048828125,396.800048828125,396.800048828125,396.800048828125,"Webcam"
"201",3,36,"low",5,"pelota","Yes",414.2001953125,414.2001953125,414.2001953125,414.2001953125,"Webcam"
"202",3,70,"high",4,"puertas","Yes",320.800048828125,320.800048828125,320.800048828125,320.800048828125,"Webcam"
"203",3,81,"high",3,"recursos","Yes",448.300048828125,448.300048828125,448.300048828125,448.300048828125,"Webcam"
"204",3,31,"low",4,"chiste","Yes",286,286,286,286,"Webcam"
"205",3,80,"high",3,"libertad","Yes",159.7998046875,159.7998046875,159.7998046875,159.7998046875,"Webcam"
"206",3,69,"high",5,"plantas","Yes",255.699951171875,255.699951171875,255.699951171875,255.699951171875,"Webcam"
"207",3,60,"high",3,"opinión","Yes",351.900146484375,351.900146484375,351.900146484375,351.900146484375,"Webcam"
"208",3,86,"high",4,"empresas","Yes",575.999999999995,575.999999999995,575.999999999995,575.999999999995,"Webcam"
"209",3,21,"low",5,"oídos","Yes",127.600097656255,127.600097656255,127.600097656255,127.600097656255,"Webcam"
"210",3,95,"high",4,"productos","Yes",160,NA,335.5,335.5,"Webcam"
"211",3,49,"low",4,"piezas","Yes",319.19995117187,319.19995117187,319.19995117187,319.19995117187,"Webcam"
"212",3,76,"high",3,"historia","Yes",480,480,480,480,"Webcam"
"213",3,20,"low",5,"plata","Yes",210.400146484375,NA,433.900146484375,1297.50024414062,"Webcam"
"214",3,77,"high",6,"relación","Yes",128.30004882813,128.30004882813,128.30004882813,128.30004882813,"Webcam"
"215",3,27,"low",4,"cajas","Yes",223.89990234375,223.89990234375,223.89990234375,223.89990234375,"Webcam"
"216",3,67,"high",3,"semanas","Yes",NA,NA,NA,258.2998046875,"Webcam"
"217",3,59,"high",4,"palabra","Yes",112.199951171875,112.199951171875,112.199951171875,112.199951171875,"Webcam"
"218",3,26,"low",5,"metas","Yes",194.60009765625,194.60009765625,194.60009765625,194.60009765625,"Webcam"
"219",3,58,"high",3,"persona","Yes",193.7998046875,193.7998046875,193.7998046875,193.7998046875,"Webcam"
"220",3,11,"low",4,"primo","Yes",176.89990234375,176.89990234375,176.89990234375,352.19995117188,"Webcam"
"221",3,13,"low",4,"trozo","Yes",257.099853515625,257.099853515625,257.099853515625,257.099853515625,"Webcam"
"222",3,48,"low",5,"ruedas","Yes",336.19995117188,336.19995117188,336.19995117188,336.19995117188,"Webcam"
"223",3,79,"high",5,"realidad","Yes",240.000000000005,240.000000000005,240.000000000005,240.000000000005,"Webcam"
"224",3,7,"low",4,"sopa","Yes",512.2998046875,512.2998046875,512.2998046875,512.2998046875,"Webcam"
