"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker","word_length"
"2316",5,85,"low",3,"doctores","Yes",191.80004882813,191.80004882813,191.80004882813,191.80004882813,"Webcam",8
"2317",5,85,"low",5,"han","No",784,784,784,784,"Webcam",3
"2318",5,79,"low",2,"alejarnos","No",NA,NA,NA,301.19995117187,"Webcam",9
"2319",5,79,"low",5,"frontera","Yes",255.39990234375,255.39990234375,255.39990234375,255.39990234375,"Webcam",8
"2320",5,79,"low",6,"por","No",175.39990234375,175.39990234375,175.39990234375,383.39990234375,"Webcam",3
"2321",5,79,"low",8,"guerra.","No",239.90014648438,239.90014648438,239.90014648438,239.90014648438,"Webcam",7
"2322",5,7,"high",2,"preparando","No",288.199951171875,288.199951171875,288.199951171875,416.599853515625,"Webcam",10
"2323",5,7,"high",5,"para","No",355.300048828125,355.300048828125,355.300048828125,355.300048828125,"Webcam",4
"2324",5,7,"high",7,"invitados.","No",224.09985351562,NA,304.09985351562,304.09985351562,"Webcam",10
"2325",5,52,"low",2,"esperabamos","No",160.400146484375,NA,272.400146484375,1009.10009765625,"Webcam",11
"2326",5,52,"low",3,"que","No",NA,NA,NA,240,"Webcam",3
"2327",5,52,"low",6,"saltase","No",412.39990234375,412.39990234375,412.39990234375,556,"Webcam",7
"2328",5,52,"low",8,"la","No",NA,NA,NA,815.80004882812,"Webcam",2
"2329",5,61,"low",3,"esperaba","No",333.10009765625,NA,540.800048828125,540.800048828125,"Webcam",8
"2330",5,61,"low",6,"de","No",207.89990234375,207.89990234375,207.89990234375,207.89990234375,"Webcam",2
"2331",5,61,"low",7,"este","No",160.10009765626,160.10009765626,160.10009765626,336.30004882813,"Webcam",4
"2332",5,61,"low",8,"año.","No",111.89990234375,111.89990234375,111.89990234375,111.89990234375,"Webcam",4
"2333",5,5,"high",2,"confíes","No",240.300048828125,240.300048828125,240.300048828125,240.300048828125,"Webcam",7
"2334",5,5,"high",4,"que","No",NA,NA,NA,416.7998046875,"Webcam",3
"2335",5,5,"high",6,"amor","Yes",80.099853515625,80.099853515625,80.099853515625,80.099853515625,"Webcam",4
"2336",5,5,"high",8,"soluciona","No",112.19995117187,112.19995117187,112.19995117187,463.30004882813,"Webcam",9
"2337",5,5,"high",9,"todo.","No",144,144,144,144,"Webcam",5
"2338",5,84,"low",2,"gustan","No",NA,NA,NA,271.899902343745,"Webcam",6
"2339",5,84,"low",4,"consejos","Yes",611.10009765625,NA,739.60009765625,739.60009765625,"Webcam",8
"2340",5,84,"low",6,"me","No",163.10009765625,163.10009765625,163.10009765625,163.10009765625,"Webcam",2
"2341",5,84,"low",8,"siempre.","No",462.69995117188,462.69995117188,462.69995117188,462.69995117188,"Webcam",8
"2342",5,29,"high",3,"preparar","No",512.5,512.5,512.5,512.5,"Webcam",8
"2343",5,29,"high",4,"las","No",112,112,112,112,"Webcam",3
"2344",5,29,"high",5,"obras","Yes",255.59985351562,255.59985351562,255.59985351562,255.59985351562,"Webcam",5
"2345",5,29,"high",7,"la","No",320.30004882813,320.30004882813,320.30004882813,320.30004882813,"Webcam",2
"2346",5,87,"low",1,"Mientras","No",416.60009765625,416.60009765625,416.60009765625,416.60009765625,"Webcam",8
"2347",5,87,"low",4,"estén","No",NA,NA,NA,210.40014648438,"Webcam",5
"2348",5,87,"low",5,"nevadas","No",685.5,685.5,685.5,893.5,"Webcam",7
"2349",5,33,"high",2,"movimiento","No",877.199951171875,877.199951171875,877.199951171875,877.199951171875,"Webcam",10
"2350",5,33,"high",4,"hombre","Yes",208.59985351562,NA,370.19970703124,370.19970703124,"Webcam",6
"2351",5,33,"high",6,"inesperado.","No",639.7998046875,639.7998046875,639.7998046875,639.7998046875,"Webcam",11
"2352",5,71,"low",1,"Mañana","No",333.800048828125,333.800048828125,333.800048828125,333.800048828125,"Webcam",6
"2353",5,71,"low",4,"será","No",240.10009765625,240.10009765625,240.10009765625,240.10009765625,"Webcam",4
"2354",5,71,"low",5,"precioso","No",482.199951171875,482.199951171875,482.199951171875,482.199951171875,"Webcam",8
"2355",5,56,"low",1,"El","No",335.900146484375,335.900146484375,335.900146484375,335.900146484375,"Webcam",2
"2356",5,56,"low",4,"cómo","No",112,112,112,112,"Webcam",4
"2357",5,56,"low",7,"se","No",931.39990234375,931.39990234375,931.39990234375,931.39990234375,"Webcam",2
"2358",5,66,"low",2,"en","No",NA,NA,NA,144.10009765626,"Webcam",2
"2359",5,66,"low",6,"su","No",817.09985351562,817.09985351562,817.09985351562,817.09985351562,"Webcam",2
"2360",5,15,"high",3,"tener","No",975.900146484375,975.900146484375,975.900146484375,975.900146484375,"Webcam",5
"2361",5,15,"high",5,"poder","Yes",175.19995117187,175.19995117187,175.19995117187,175.19995117187,"Webcam",5
"2362",5,15,"high",7,"harán","No",176.5,176.5,176.5,176.5,"Webcam",5
"2363",5,15,"high",8,"más","No",399.2001953125,399.2001953125,399.2001953125,399.2001953125,"Webcam",3
"2364",5,57,"low",2,"la","No",207.800048828125,207.800048828125,207.800048828125,207.800048828125,"Webcam",2
"2365",5,57,"low",3,"subasta","No",160.300048828125,160.300048828125,160.300048828125,160.300048828125,"Webcam",7
"2366",5,57,"low",5,"pintura","Yes",159.900146484375,159.900146484375,159.900146484375,159.900146484375,"Webcam",7
"2367",5,57,"low",7,"vendió.","No",351.90014648438,351.90014648438,351.90014648438,351.90014648438,"Webcam",7
"2368",6,68,"low",1,"Hay","No",306.199951171875,306.199951171875,306.199951171875,306.199951171875,"Webcam",3
"2369",6,68,"low",5,"las","No",351.999999999995,351.999999999995,351.999999999995,351.999999999995,"Webcam",3
"2370",6,68,"low",6,"piedras","Yes",NA,NA,NA,206.80004882812,"Webcam",7
"2371",6,68,"low",8,"pozo.","No",208.60009765626,208.60009765626,208.60009765626,208.60009765626,"Webcam",5
"2372",6,4,"high",2,"mañana","No",335.199951171875,335.199951171875,335.199951171875,415.699951171875,"Webcam",6
"2373",6,4,"high",4,"hijo","Yes",175.60009765625,175.60009765625,175.60009765625,175.60009765625,"Webcam",4
"2374",6,4,"high",5,"está","No",96,96,96,96,"Webcam",4
"2375",6,4,"high",6,"jugando","No",225.19995117188,225.19995117188,225.19995117188,225.19995117188,"Webcam",7
"2376",6,4,"high",8,"el","No",526.89990234375,526.89990234375,526.89990234375,526.89990234375,"Webcam",2
"2377",6,16,"high",4,"ciudad,","No",271.699951171875,271.699951171875,271.699951171875,271.699951171875,"Webcam",7
"2378",6,16,"high",5,"la","No",80.599853515625,80.599853515625,80.599853515625,80.599853515625,"Webcam",2
"2379",6,16,"high",6,"mujer","Yes",191.80004882813,191.80004882813,191.80004882813,191.80004882813,"Webcam",5
"2380",6,16,"high",7,"llamó","No",143.30004882812,143.30004882812,143.30004882812,143.30004882812,"Webcam",5
"2381",6,16,"high",9,"un","No",352.5,352.5,352.5,352.5,"Webcam",2
"2382",6,55,"low",1,"Vamos","No",239.39990234375,239.39990234375,239.39990234375,239.39990234375,"Webcam",5
"2383",6,55,"low",3,"sacar","No",141.099853515625,141.099853515625,141.099853515625,141.099853515625,"Webcam",5
"2384",6,55,"low",5,"cristal","Yes",128.199951171875,128.199951171875,128.199951171875,128.199951171875,"Webcam",7
"2385",6,55,"low",7,"limpiarlo.","No",384.10009765625,384.10009765625,384.10009765625,384.10009765625,"Webcam",10
"2386",6,10,"high",2,"puede","No",255.599853515625,255.599853515625,255.599853515625,255.599853515625,"Webcam",5
"2387",6,10,"high",3,"dejar","No",NA,NA,NA,287.60009765625,"Webcam",5
"2388",6,10,"high",8,"hora","Yes",176.10009765626,176.10009765626,176.10009765626,176.10009765626,"Webcam",4
"2389",6,10,"high",9,"del","No",NA,NA,NA,127.09985351562,"Webcam",3
"2390",6,10,"high",10,"almuerzo.","No",223.89990234374,223.89990234374,223.89990234374,223.89990234374,"Webcam",9
"2391",6,17,"high",4,"que","No",112.400146484375,112.400146484375,112.400146484375,112.400146484375,"Webcam",3
